HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,2.56173207e-05,2.70684777e-05,6.13168368e-07,611
1,2,8.42841910e-05,6.21989093e-05,1.69305088e-06,320
1,3,2.20342517e-05,8.54527534e-05,8.01445594e-07,823
1,4,8.34902603e-05,8.99860897e-05,3.40012548e-07,293
1,5,1.21937766e-04,9.11867683e-05,3.44117757e-06,3283
1,6,1.01533289e-04,1.10718487e-04,9.17404577e-07,1213
1,7,9.28805821e-05,1.11954170e-04,1.85279453e-06,1242
1,8,1.87037022e-05,1.14650946e-04,7.88544014e-07,809
1,9,2.38236844e-05,8.54041355e-05,5.24338702e-06,55
1,10,4.89622835e-05,1.39423164e-05,7.47235481e-06,1545
1,11,9.92893765e-05,4.60986048e-05,8.37229072e-06,1624
1,12,7.85480879e-05,4.55872869e-05,8.54758400e-06,402
1,13,1.06319931e-04,1.07207670e-04,8.58993008e-06,732
1,14,1.20854282e-04,7.70301194e-05,1.08634740e-05,870
1,15,1.34711945e-05,2.48350370e-05,1.14220993e-05,711
1,16,8.21325666e-05,6.75169504e-05,1.81472842e-05,5932
1,17,1.19132555e-05,3.94223789e-05,1.52452540e-05,674
1,18,1.31276000e-04,5.70238954e-05,1.69414252e-05,2340
1,19,1.00078018e-04,1.20889054e-04,1.53483561e-05,472
1,20,6.69405881e-06,7.04574632e-05,1.86363450e-05,745
1,21,2.85333244e-05,1.03881146e-04,1.67560884e-05,70
1,22,1.26669938e-05,3.93250193e-05,1.82815475e-05,16
1,23,1.27847103e-04,2.60002344e-05,2.20789298e-05,772
1,24,1.40277814e-04,1.65633992e-05,2.19206431e-05,218
1,25,7.57991220e-05,1.23554593e-04,2.26682369e-05,786
1,26,1.05487758e-04,3.86043866e-05,2.57953798e-05,2322
1,27,8.23968949e-05,6.71265298e-05,2.30000023e-05,31
1,28,5.42252637e-05,8.60758009e-05,2.68220538e-05,1048
1,29,2.56457079e-05,1.28448984e-04,2.76506198e-05,1529
1,30,9.85096995e-05,1.13668921e-05,2.71129502e-05,228
1,31,1.12245594e-04,3.58337129e-05,3.02745830e-05,813
1,32,9.42755214e-05,5.35048348e-05,3.04216173e-05,946
1,33,4.13649577e-05,1.33096430e-04,3.24638095e-05,2651
1,34,1.08286345e-04,2.24693504e-05,3.19603241e-05,1357
1,35,5.73359612e-05,8.67878916e-05,3.13380806e-05,431
1,36,7.62373820e-05,5.55312072e-05,3.54395743e-05,3945
1,37,6.55770345e-05,1.35620459e-04,3.29901959e-05,754
1,38,8.82896347e-05,1.12817488e-05,3.30720650e-05,321
1,39,5.24683855e-05,2.84436865e-05,3.29765608e-05,305
1,40,1.41786450e-05,5.31179212e-05,3.55224074e-05,1107
1,41,5.07004188e-05,6.32994561e-05,3.41029699e-05,447
1,42,3.98373850e-05,3.71654028e-06,3.43309039e-05,51
1,43,9.43591367e-05,7.24439269e-06,3.43951542e-05,33
1,44,7.04492923e-05,5.38236818e-05,3.69034897e-05,1772
1,45,1.88302001e-05,5.68874239e-05,3.50900664e-05,900
1,46,8.40837856e-06,6.61331796e-05,3.68583205e-05,76
1,47,2.85682872e-05,2.14292650e-05,3.72856666e-05,446
1,48,4.04564635e-05,3.04109062e-06,3.74412011e-05,91
1,49,1.15428476e-04,4.27449704e-05,4.11347028e-05,2787
1,50,1.36813542e-04,1.13059694e-04,4.09044187e-05,737
1,51,1.10483843e-05,3.08443341e-05,4.12690497e-05,1230
1,52,1.76715421e-05,7.09210799e-05,4.14086717e-05,678
1,53,4.42020646e-05,1.04814331e-04,4.14327405e-05,740
1,54,1.13145943e-04,2.45403116e-05,4.19873140e-05,797
1,55,4.58420218e-05,1.24690458e-04,4.49736399e-05,3116
1,56,3.35292862e-05,9.02886823e-05,4.41384364e-05,1102
1,57,5.00131719e-05,9.03334003e-05,4.36019072e-05,982
1,58,1.13481066e-04,1.29345761e-04,4.43558274e-05,805
1,59,9.21176252e-05,1.18005839e-04,4.58338582e-05,493
1,60,5.40268848e-05,1.14012391e-05,4.70965279e-05,366
1,61,7.80098708e-05,1.24381710e-04,4.79979280e-05,570
1,62,9.17903162e-05,1.15544308e-05,4.93698499e-05,477
1,63,1.48820227e-05,3.75262098e-05,4.88622572e-05,667
1,64,6.37994599e-05,5.19759597e-05,5.01954564e-05,831
1,65,8.85157424e-05,6.68069843e-05,5.18052220e-05,2403
1,66,7.88964098e-05,5.45612565e-05,5.21138609e-05,783
1,67,5.11696780e-05,2.51932743e-05,5.19685527e-05,1038
1,68,1.39883896e-05,5.08966696e-05,5.25346841e-05,445
1,69,1.18051692e-04,2.80669956e-05,5.25275645e-05,715
1,70,6.98524818e-05,6.23388041e-05,5.28855053e-05,1083
1,71,5.32857193e-05,9.86048180e-05,5.23561976e-05,478
1,72,1.46305847e-05,9.98851829e-05,5.30726466e-05,997
1,73,3.98198172e-05,3.27447269e-05,5.29601639e-05,755
1,74,6.70238514e-05,8.92496100e-05,5.31130499e-05,587
1,75,5.29548452e-05,1.02108577e-04,5.30471298e-05,854
1,76,9.79547403e-05,6.19632046e-05,5.31499500e-05,39
1,77,4.22277935e-06,8.50983852e-05,5.32708109e-05,43
1,78,7.84908407e-05,5.51382873e-05,5.55000006e-05,13
1,79,8.69505311e-05,6.71760208e-05,5.65000046e-05,11
2,1,2.57001884e-05,2.71381105e-05,5.95934239e-07,709
2,2,8.43090020e-05,6.29278729e-05,1.27520354e-06,754
2,3,2.20657275e-05,8.53886086e-05,8.40437053e-07,718
2,4,8.34997481e-05,8.99064617e-05,3.06403678e-07,311
2,5,1.22059646e-04,9.14883276e-05,3.52046982e-06,2156
2,6,1.01447709e-04,1.10689616e-04,8.83524706e-07,1294
2,7,9.30011010e-05,1.11973335e-04,1.83835925e-06,1054
2,8,1.87431597e-05,1.14608672e-04,6.96220297e-07,785
2,9,1.01344689e-04,1.09690489e-04,4.41669999e-06,19
2,10,4.93800617e-05,1.42305034e-05,7.91832736e-06,1458
2,11,9.95798619e-05,4.60767842e-05,8.04177671e-06,1849
2,12,1.38256393e-04,3.52687239e-05,6.49999947e-06,12
2,13,7.92095525e-05,4.49865220e-05,8.47125193e-06,491
2,14,1.06350686e-04,1.07088701e-04,8.62870820e-06,618
2,15,1.21026023e-04,7.64764482e-05,1.08613795e-05,1038
2,16,1.35834098e-05,2.49418554e-05,1.12871321e-05,606
2,17,8.20998175e-05,6.73920367e-05,1.83716293e-05,6663
2,18,1.20811501e-05,3.93449118e-05,1.51246250e-05,606
2,19,1.31253022e-04,5.70096818e-05,1.74955258e-05,2589
2,20,1.00273282e-04,1.20970704e-04,1.54295140e-05,538
2,21,2.84575908e-05,1.03871658e-04,1.67533944e-05,98
2,22,7.18398996e-06,7.09978849e-05,1.83885368e-05,390
2,23,1.27855979e-04,2.66405223e-05,2.17877769e-05,650
2,24,7.53797503e-05,1.23917285e-04,2.20496240e-05,1468
2,25,1.39902462e-04,1.67338021e-05,2.26735738e-05,116
2,26,1.05444829e-04,3.84028681e-05,2.59083445e-05,2025
2,27,8.26993783e-05,6.70493391e-05,2.30000005e-05,24
