vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,419.17,4.92,4.59,57.636,0.676,2.295,TP,0,0.011,0.165,0.166,-0.009,0.006,0.165
103,1,212.73,20.58,5.36,29.25,2.83,2.68,TP,1,0.022,0.108,0.11,-0.003,-0.022,0.108
103,2,17.59,31.05,5.1,2.419,4.269,2.551,TP,2,0.134,0.467,0.485,-0.122,-0.055,0.467
103,3,8.74,140.84,7.92,1.202,19.366,3.958,TP,3,0.059,0.123,0.136,0.012,0.058,0.123
103,4,352.42,145.13,6.66,48.457,19.955,3.332,TP,5,0.343,0.532,0.633,-0.239,-0.246,0.532
103,5,241.41,143.48,7.45,33.194,19.729,3.724,TP,4,0.022,0.079,0.082,-0.007,0.021,0.079
103,6,91.86,173.54,6.48,12.63,23.862,3.239,TP,6,0.218,0.498,0.544,-0.032,-0.215,0.498
103,7,218.43,187.48,2.11,30.034,25.778,1.055,TP,7,0.004,0.088,0.088,0.003,-0.003,0.088
103,8,28.81,197.91,7.76,3.961,27.212,3.878,TP,8,0.076,0.118,0.14,0.068,0.033,0.118
103,9,201.77,219.38,3.67,27.743,30.165,1.836,TP,9,0.086,0.048,0.098,0.035,0.078,-0.048
103,10,362.21,251.48,8.39,49.803,34.578,4.196,TP,10,0.402,0.076,0.409,0.239,0.324,-0.076
103,11,453.81,254.05,8.03,62.398,34.932,4.013,TP,11,0.13,0.253,0.285,0.064,0.113,0.253
103,12,221.89,262.02,5.17,30.509,36.028,2.584,TP,12,0.08,0.115,0.14,-0.079,0.009,0.115
103,13,388.17,314.29,5.65,53.374,43.215,2.823,TP,13,0.029,0.203,0.206,-0.028,-0.009,-0.203
103,14,387.0,315.0,1.0,53.213,43.312,0.5,FP,,,,,,,
103,15,495.25,403.75,7.54,68.097,55.516,3.772,TP,14,0.042,0.219,0.223,-0.042,0.008,0.219
103,16,240.62,414.62,7.39,33.086,57.011,3.693,TP,15,0.027,0.199,0.201,-0.027,-0.001,0.199
103,17,235.18,441.22,1.0,32.337,60.667,0.5,TP,16,0.043,0.0,0.043,0.042,0.01,0.0
103,18,91.42,458.81,5.52,12.571,63.087,2.759,TP,17,0.012,0.127,0.128,-0.011,-0.003,0.127
103,19,155.46,483.57,2.54,21.376,66.491,1.269,TP,18,0.044,0.033,0.055,-0.038,-0.021,0.033
103,20,112.29,488.74,6.22,15.441,67.201,3.109,TP,19,0.071,0.109,0.13,0.022,0.067,0.109
104,0,406.11,5.48,1.83,55.839,0.754,0.914,TP,0,0.086,0.059,0.104,-0.035,-0.079,-0.059
104,1,108.55,37.32,7.86,14.925,5.131,3.932,TP,1,0.548,0.063,0.551,0.541,0.085,0.063
104,2,181.79,36.34,6.15,24.996,4.997,3.075,TP,2,0.038,0.064,0.074,-0.008,-0.037,0.064
104,3,466.6,117.75,6.28,64.157,16.19,3.138,TP,3,0.344,0.519,0.622,-0.147,-0.311,0.519
104,4,215.45,134.57,6.99,29.624,18.504,3.497,TP,4,0.062,0.206,0.215,-0.002,-0.062,0.206
104,5,167.65,139.98,2.39,23.052,19.248,1.196,TP,5,0.053,0.017,0.056,0.04,0.036,-0.017
104,6,341.33,145.5,1.0,46.933,20.006,0.5,TP,6,0.04,0.0,0.04,0.018,0.036,0.0
104,7,169.8,192.19,6.91,23.348,26.427,3.457,TP,7,0.022,0.093,0.096,-0.007,-0.021,0.093
104,8,74.1,247.03,5.13,10.189,33.967,2.563,TP,8,0.166,0.43,0.461,-0.149,-0.072,0.43
104,9,127.07,249.38,2.75,17.472,34.289,1.376,TP,9,0.053,0.198,0.205,0.044,0.028,0.198
104,10,476.98,311.67,5.03,65.585,42.855,2.515,TP,10,0.084,0.071,0.11,0.015,0.082,-0.071
104,11,406.97,329.48,1.78,55.958,45.304,0.888,TP,11,0.016,0.073,0.075,0.016,-0.002,0.073
104,12,316.04,357.77,5.84,43.456,49.194,2.922,TP,12,0.036,0.171,0.174,-0.024,-0.027,0.171
104,13,404.83,376.5,2.78,55.665,51.769,1.39,TP,13,0.061,0.0,0.061,0.044,0.043,-0.0
104,14,23.01,394.15,6.72,3.163,54.196,3.358,TP,14,0.015,0.084,0.085,0.015,0.0,0.084
104,15,326.94,415.85,3.02,44.954,57.18,1.508,TP,15,0.006,0.04,0.041,-0.006,-0.001,-0.04
104,16,57.44,455.01,1.0,7.898,62.564,0.5,TP,16,0.007,0.0,0.007,0.007,0.002,0.0
104,17,274.64,489.13,3.55,37.763,67.256,1.776,TP,17,0.032,0.057,0.066,0.024,0.021,-0.057
104,18,263.68,501.76,7.22,36.256,68.992,3.612,TP,18,0.107,0.018,0.109,0.077,0.074,-0.018
105,0,470.8,12.15,5.36,64.736,1.671,2.682,TP,0,0.184,0.194,0.267,-0.043,-0.178,0.194
105,1,54.57,17.36,2.86,7.503,2.387,1.431,TP,1,0.828,0.452,0.943,0.764,0.319,0.452
105,2,380.68,17.21,3.68,52.344,2.367,1.838,TP,2,0.038,0.163,0.167,0.024,-0.03,0.163
105,3,314.08,79.8,1.39,43.186,10.973,0.696,TP,4,0.016,0.037,0.04,-0.016,0.002,0.037
105,4,429.02,106.01,2.56,58.99,14.576,1.28,TP,5,0.008,0.073,0.074,-0.008,0.001,0.073
105,5,353.95,165.91,1.44,48.668,22.812,0.718,TP,6,0.007,0.066,0.066,-0.005,0.005,0.066
105,6,478.95,189.39,1.35,65.855,26.042,0.673,TP,7,0.052,0.002,0.052,0.018,0.049,-0.002
105,7,269.08,195.92,1.0,36.998,26.939,0.5,TP,8,0.023,0.0,0.023,0.017,0.016,0.0
105,8,193.88,239.56,4.03,26.659,32.939,2.013,TP,9,0.007,0.013,0.015,0.001,0.007,0.013
105,9,99.47,261.07,2.42,13.677,35.897,1.211,TP,10,0.01,0.023,0.026,0.01,-0.003,-0.023
105,10,74.76,317.35,6.84,10.279,43.636,3.421,TP,11,0.298,0.483,0.567,-0.105,-0.279,0.483
105,11,144.24,321.28,3.28,19.833,44.176,1.642,TP,12,0.021,0.057,0.061,0.019,0.008,-0.057
105,12,125.53,336.09,4.82,17.261,46.213,2.408,TP,13,0.189,0.092,0.21,-0.189,0.01,-0.092
105,13,133.0,340.5,8.0,18.288,46.819,4.0,FP,,,,,,,
105,14,269.02,365.16,1.53,36.99,50.21,0.765,TP,14,0.003,0.032,0.032,-0.003,0.001,0.032
105,15,313.44,404.17,8.05,43.098,55.573,4.024,TP,15,0.137,0.304,0.333,0.023,0.135,0.304
