vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,166.26,12.5,60.52,22.861,1.718,30.261,TP,2,0.194,0.581,0.612,0.041,0.189,-0.581
103,1,429.08,10.76,71.53,58.999,1.48,35.766,FP,,,,,,,
103,2,95.0,16.56,35.0,13.062,2.276,17.5,TP,3,0.468,0.381,0.604,-0.269,-0.383,-0.381
103,3,99.0,20.0,39.0,13.613,2.75,19.5,FP,,,,,,,
103,4,102.0,22.2,39.1,14.025,3.053,19.55,FP,,,,,,,
103,5,240.5,22.66,6.25,33.069,3.115,3.125,FP,,,,,,,
103,6,371.8,29.89,34.83,51.122,4.11,17.417,TP,4,0.058,0.824,0.826,0.053,0.024,-0.824
103,7,147.7,31.63,77.77,20.308,4.349,38.883,TP,5,0.042,1.233,1.234,-0.037,0.021,1.233
103,8,239.48,54.42,29.61,32.929,7.482,14.805,TP,6,0.124,0.195,0.231,0.113,0.051,-0.195
103,9,150.87,64.63,50.89,20.744,8.887,25.445,TP,7,0.278,0.443,0.523,0.091,0.262,-0.443
103,10,350.21,66.63,5.88,48.154,9.162,2.938,TP,8,0.048,0.979,0.98,0.041,-0.025,0.979
103,11,335.64,73.58,54.21,46.15,10.117,27.106,TP,9,0.191,0.06,0.2,-0.183,0.056,-0.06
103,12,39.58,95.93,30.83,5.442,13.191,15.414,TP,11,0.043,0.054,0.069,-0.025,0.035,0.054
103,13,458.82,93.43,33.79,63.088,12.847,16.897,TP,10,0.214,0.197,0.291,0.193,0.093,-0.197
103,14,36.5,93.0,36.0,5.019,12.788,18.0,FP,,,,,,,
103,15,298.53,121.65,7.23,41.048,16.727,3.615,TP,13,0.303,0.335,0.452,0.179,-0.245,0.335
103,16,297.17,129.24,16.18,40.861,17.77,8.091,FP,,,,,,,
103,17,219.98,160.22,68.8,30.247,22.03,34.401,TP,16,0.112,0.312,0.331,0.007,0.112,0.312
103,18,458.05,173.05,7.27,62.981,23.794,3.636,FP,,,,,,,
