vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,407.92,63.55,95.68,56.09,8.738,47.84,TP,7,1.18,2.07,2.383,-1.084,0.467,2.07
103,1,405.08,61.64,31.69,55.699,8.475,15.843,FP,,,,,,,
103,2,305.18,66.0,31.74,41.962,9.076,15.872,FP,,,,,,,
103,3,305.3,70.18,95.5,41.979,9.65,47.75,FP,,,,,,,
103,4,199.8,67.4,95.0,27.473,9.268,47.5,FP,,,,,,,
103,5,462.44,69.22,95.0,63.586,9.518,47.5,FP,,,,,,,
103,6,206.29,71.86,95.14,28.364,9.88,47.571,FP,,,,,,,
103,7,184.0,71.5,31.0,25.3,9.831,15.5,FP,,,,,,,
103,8,358.14,73.5,95.29,49.245,10.106,47.643,FP,,,,,,,
103,9,190.0,75.0,31.0,26.125,10.312,15.5,FP,,,,,,,
103,10,205.14,117.77,95.65,28.207,16.194,47.825,FP,,,,,,,
103,11,106.47,119.81,95.7,14.639,16.474,47.849,FP,,,,,,,
103,12,201.0,119.74,31.63,27.638,16.464,15.816,FP,,,,,,,
103,13,105.92,141.86,95.7,14.564,19.506,47.849,FP,,,,,,,
103,14,106.13,139.97,31.74,14.593,19.245,15.868,FP,,,,,,,
103,15,103.97,137.13,55.33,14.295,18.856,27.667,FP,,,,,,,
103,16,110.0,138.0,55.0,15.125,18.975,27.5,FP,,,,,,,
103,17,16.89,160.35,31.62,2.322,22.048,15.811,FP,,,,,,,
103,18,346.05,183.02,95.68,47.582,25.165,47.842,FP,,,,,,,
103,19,347.93,182.15,31.64,47.84,25.045,15.818,TP,16,0.464,1.951,2.006,-0.459,0.065,-1.951
103,20,347.32,183.35,55.46,47.757,25.211,27.73,FP,,,,,,,
103,21,351.06,182.15,113.85,48.271,25.046,56.924,FP,,,,,,,
103,22,349.67,184.12,3.68,48.08,25.316,1.84,FP,,,,,,,
103,23,350.61,182.93,83.24,48.209,25.153,41.618,FP,,,,,,,
103,24,351.64,183.32,131.73,48.35,25.206,65.863,FP,,,,,,,
103,25,350.38,183.59,17.28,48.177,25.244,8.641,FP,,,,,,,
103,26,350.91,183.83,24.11,48.25,25.277,12.054,FP,,,,,,,
103,27,350.56,183.58,39.87,48.202,25.242,19.933,FP,,,,,,,
103,28,350.83,183.83,159.0,48.24,25.277,79.5,FP,,,,,,,
103,29,214.47,206.66,95.65,29.49,28.416,47.824,FP,,,,,,,
103,30,188.93,207.41,31.43,25.978,28.52,15.715,FP,,,,,,,
103,31,215.29,207.71,31.29,29.602,28.561,15.643,FP,,,,,,,
103,32,102.66,239.61,95.46,14.116,32.947,47.728,FP,,,,,,,
103,33,72.08,274.42,31.62,9.91,37.733,15.808,FP,,,,,,,
103,34,225.26,280.59,31.73,30.973,38.581,15.863,FP,,,,,,,
103,35,144.27,286.34,31.61,19.838,39.372,15.806,FP,,,,,,,
103,36,222.22,283.78,95.47,30.555,39.019,47.737,FP,,,,,,,
103,37,151.09,288.78,95.78,20.775,39.707,47.891,FP,,,,,,,
103,38,314.62,296.16,31.52,43.26,40.722,15.759,FP,,,,,,,
103,39,144.0,288.0,3.0,19.8,39.6,1.5,FP,,,,,,,
103,40,444.17,311.93,30.17,61.073,42.891,15.083,FP,,,,,,,
103,41,360.29,308.72,95.7,49.539,42.45,47.85,FP,,,,,,,
103,42,441.78,315.87,95.73,60.744,43.432,47.865,FP,,,,,,,
103,43,442.86,313.05,3.87,60.894,43.044,1.934,TP,27,0.174,4.52,4.524,-0.001,-0.174,-4.52
103,44,445.35,312.32,55.46,61.236,42.944,27.732,FP,,,,,,,
103,45,359.93,310.6,31.13,49.491,42.708,15.567,FP,,,,,,,
103,46,442.83,312.83,10.75,60.89,43.015,5.375,FP,,,,,,,
103,47,73.23,333.24,95.67,10.07,45.82,47.837,FP,,,,,,,
103,48,68.9,333.54,31.64,9.474,45.862,15.819,FP,,,,,,,
103,49,476.15,372.77,31.68,65.471,51.255,15.84,TP,34,0.409,1.664,1.714,0.186,0.364,1.664
103,50,477.59,374.06,95.45,65.669,51.433,47.724,FP,,,,,,,
103,51,214.08,376.13,95.47,29.436,51.718,47.737,TP,35,0.184,2.081,2.089,0.141,-0.118,-2.081
103,52,304.11,413.77,31.5,41.815,56.893,15.75,FP,,,,,,,
103,53,149.9,446.72,31.75,20.611,61.424,15.876,FP,,,,,,,
103,54,152.14,445.21,95.64,20.919,61.217,47.819,FP,,,,,,,
103,55,149.5,447.83,3.42,20.556,61.577,1.708,FP,,,,,,,
103,56,223.46,458.55,31.73,30.725,63.051,15.866,FP,,,,,,,
103,57,222.31,459.5,95.58,30.568,63.182,47.791,FP,,,,,,,
103,58,224.0,457.5,55.0,30.8,62.906,27.5,FP,,,,,,,
103,59,225.67,459.33,43.0,31.029,63.158,21.5,FP,,,,,,,
103,60,54.84,463.0,95.42,7.54,63.663,47.71,FP,,,,,,,
103,61,44.98,471.67,31.58,6.185,64.855,15.791,FP,,,,,,,
103,62,357.68,492.34,31.64,49.181,67.697,15.822,FP,,,,,,,
103,63,287.1,487.66,31.62,39.477,67.054,15.808,FP,,,,,,,
103,64,288.41,489.64,95.48,39.657,67.325,47.738,FP,,,,,,,
103,,,,,49.549,1.351,12.172,FN,0,,,,,,
103,,,,,58.71,2.495,55.196,FN,1,,,,,,
103,,,,,4.781,1.499,54.992,FN,2,,,,,,
103,,,,,14.582,2.138,15.889,FN,3,,,,,,
103,,,,,43.556,3.357,90.729,FN,4,,,,,,
103,,,,,6.854,3.603,92.044,FN,5,,,,,,
103,,,,,54.474,4.344,19.621,FN,6,,,,,,
103,,,,,55.445,8.981,39.994,FN,8,,,,,,
103,,,,,42.084,8.949,31.872,FN,9,,,,,,
103,,,,,27.877,16.238,41.231,FN,10,,,,,,
103,,,,,14.34,16.905,18.417,FN,11,,,,,,
103,,,,,15.903,18.464,14.318,FN,12,,,,,,
103,,,,,14.021,21.066,7.03,FN,13,,,,,,
103,,,,,2.745,22.045,38.218,FN,14,,,,,,
103,,,,,53.322,23.968,96.421,FN,15,,,,,,
103,,,,,29.479,28.813,85.628,FN,17,,,,,,
103,,,,,13.829,32.915,58.146,FN,18,,,,,,
103,,,,,10.547,34.188,98.479,FN,19,,,,,,
103,,,,,29.308,35.995,12.818,FN,20,,,,,,
103,,,,,16.675,36.562,27.524,FN,21,,,,,,
103,,,,,10.372,38.541,4.657,FN,22,,,,,,
103,,,,,31.444,39.37,33.73,FN,23,,,,,,
103,,,,,20.757,39.641,30.18,FN,24,,,,,,
103,,,,,43.527,40.817,21.335,FN,25,,,,,,
103,,,,,49.155,42.339,81.071,FN,26,,,,,,
103,,,,,52.327,43.781,16.5,FN,28,,,,,,
103,,,,,41.299,44.862,96.462,FN,29,,,,,,
103,,,,,10.08,45.82,29.286,FN,30,,,,,,
103,,,,,16.187,46.611,76.148,FN,31,,,,,,
103,,,,,0.336,48.579,87.159,FN,32,,,,,,
103,,,,,17.604,48.396,22.646,FN,33,,,,,,
103,,,,,17.218,53.83,79.196,FN,36,,,,,,
103,,,,,26.378,54.304,75.816,FN,37,,,,,,
103,,,,,40.628,55.825,4.254,FN,38,,,,,,
103,,,,,10.058,57.53,75.965,FN,39,,,,,,
103,,,,,44.262,57.747,64.5,FN,40,,,,,,
103,,,,,20.994,61.255,23.346,FN,41,,,,,,
103,,,,,51.863,63.061,73.317,FN,42,,,,,,
103,,,,,30.603,63.039,42.427,FN,43,,,,,,
103,,,,,51.386,62.893,96.586,FN,44,,,,,,
103,,,,,7.932,63.456,57.627,FN,45,,,,,,
103,,,,,4.188,65.03,11.746,FN,46,,,,,,
103,,,,,39.75,66.69,60.749,FN,47,,,,,,
103,,,,,48.263,67.005,10.29,FN,48,,,,,,
103,,,,,7.243,67.543,78.167,FN,49,,,,,,
104,0,72.08,46.13,95.52,9.911,6.343,47.759,FP,,,,,,,
104,1,72.53,48.14,31.59,9.973,6.62,15.794,FP,,,,,,,
104,2,207.8,53.4,95.0,28.573,7.343,47.5,FP,,,,,,,
104,3,365.99,74.7,95.6,50.324,10.271,47.799,FP,,,,,,,
104,4,365.13,76.81,31.73,50.206,10.562,15.866,FP,,,,,,,
104,5,134.4,118.6,31.4,18.48,16.308,15.7,FP,,,,,,,
104,6,164.11,165.59,31.6,22.565,22.768,15.801,FP,,,,,,,
104,7,167.08,164.85,95.54,22.973,22.667,47.771,FP,,,,,,,
104,8,441.11,185.2,95.47,60.653,25.465,47.733,FP,,,,,,,
104,9,215.0,185.5,159.0,29.562,25.506,79.5,FP,,,,,,,
104,10,219.5,194.85,95.61,30.181,26.792,47.807,FP,,,,,,,
104,11,313.03,205.38,95.65,43.042,28.24,47.823,FP,,,,,,,
104,12,111.76,204.72,31.67,15.368,28.15,15.835,FP,,,,,,,
104,13,105.9,204.96,95.54,14.561,28.182,47.771,FP,,,,,,,
104,14,60.17,220.39,95.6,8.273,30.303,47.802,FP,,,,,,,
104,15,217.68,242.34,31.44,29.931,33.322,15.72,FP,,,,,,,
104,16,178.75,297.58,31.66,24.578,40.918,15.832,FP,,,,,,,
104,17,51.29,296.79,95.67,7.052,40.808,47.837,FP,,,,,,,
104,18,178.83,296.5,95.58,24.589,40.768,47.79,FP,,,,,,,
104,19,178.58,297.61,3.61,24.555,40.921,1.807,FP,,,,,,,
104,20,182.47,297.13,23.8,25.089,40.856,11.9,TP,25,0.722,2.593,2.691,0.424,0.584,2.593
104,21,180.92,297.0,17.68,24.877,40.838,8.84,FP,,,,,,,
104,22,85.93,308.28,31.44,11.816,42.389,15.72,FP,,,,,,,
104,23,407.67,368.91,31.63,56.055,50.726,15.816,FP,,,,,,,
104,24,411.25,369.55,95.77,56.547,50.812,47.884,FP,,,,,,,
104,25,411.74,368.49,107.09,56.615,50.667,53.543,FP,,,,,,,
104,26,412.73,369.0,119.01,56.75,50.737,59.506,FP,,,,,,,
104,27,408.07,370.89,3.57,56.11,50.998,1.786,FP,,,,,,,
104,28,310.01,391.29,31.58,42.627,53.803,15.788,FP,,,,,,,
104,29,311.18,400.36,95.36,42.788,55.05,47.682,FP,,,,,,,
104,30,496.85,435.06,95.71,68.317,59.821,47.854,TP,38,0.27,2.34,2.356,0.113,0.245,2.34
104,31,495.1,433.08,31.72,68.076,59.549,15.859,FP,,,,,,,
104,32,319.1,432.02,31.42,43.876,59.403,15.712,FP,,,,,,,
104,33,495.24,434.0,67.51,68.095,59.675,33.756,FP,,,,,,,
104,34,495.09,433.94,84.47,68.075,59.667,42.236,FP,,,,,,,
104,35,36.4,432.6,31.0,5.005,59.483,15.5,FP,,,,,,,
104,36,197.87,447.46,31.61,27.207,61.526,15.806,FP,,,,,,,
104,37,33.77,436.7,95.39,4.643,60.046,47.696,FP,,,,,,,
104,38,214.66,446.72,95.59,29.516,61.424,47.794,FP,,,,,,,
104,39,495.16,438.68,159.44,68.085,60.319,79.72,FP,,,,,,,
104,40,116.38,457.96,31.73,16.002,62.97,15.866,FP,,,,,,,
104,41,119.84,471.54,95.46,16.477,64.836,47.731,FP,,,,,,,
104,42,239.5,484.55,31.6,32.932,66.626,15.8,FP,,,,,,,
104,43,364.2,499.21,31.5,50.077,68.642,15.75,FP,,,,,,,
104,44,264.0,497.5,31.0,36.3,68.406,15.5,FP,,,,,,,
104,,,,,0.29,5.089,31.808,FN,0,,,,,,
104,,,,,10.039,6.615,75.0,FN,1,,,,,,
104,,,,,50.561,10.129,5.42,FN,2,,,,,,
104,,,,,49.656,11.033,88.576,FN,3,,,,,,
104,,,,,18.37,14.288,45.978,FN,4,,,,,,
104,,,,,18.301,16.379,73.978,FN,5,,,,,,
104,,,,,36.967,16.92,40.16,FN,6,,,,,,
104,,,,,6.87,17.333,77.329,FN,7,,,,,,
104,,,,,23.919,18.443,92.151,FN,8,,,,,,
