vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,57.02,14.69,60.22,7.84,2.02,30.108,FP,,,,,,,
103,1,56.38,13.77,67.31,7.753,1.893,33.654,FP,,,,,,,
103,2,55.79,14.95,51.43,7.672,2.056,25.714,TP,0,0.359,2.217,2.246,-0.349,0.084,2.217
103,3,55.33,15.42,44.21,7.608,2.12,22.104,FP,,,,,,,
103,4,59.53,34.36,135.62,8.186,4.724,67.812,TP,1,0.117,4.342,4.343,0.044,0.109,4.342
103,5,440.12,40.15,18.98,60.517,5.521,9.49,TP,4,0.57,4.208,4.246,-0.0,-0.57,-4.208
103,6,154.98,45.67,63.36,21.31,6.28,31.682,FP,,,,,,,
103,7,156.95,45.49,135.67,21.58,6.256,67.837,FP,,,,,,,
103,8,440.69,44.64,135.81,60.595,6.137,67.905,FP,,,,,,,
103,9,439.6,44.81,28.75,60.446,6.162,14.375,FP,,,,,,,
103,10,307.28,52.08,135.54,42.251,7.161,67.77,FP,,,,,,,
103,11,281.45,56.91,19.55,38.699,7.825,9.776,TP,5,0.171,1.495,1.505,-0.148,-0.086,1.495
103,12,282.48,57.87,186.39,38.841,7.957,93.195,FP,,,,,,,
103,13,283.48,59.04,28.36,38.978,8.119,14.179,FP,,,,,,,
103,14,283.5,59.33,134.67,38.981,8.158,67.333,FP,,,,,,,
103,15,283.0,59.0,181.0,38.913,8.113,90.5,FP,,,,,,,
103,16,422.27,113.45,45.11,58.063,15.6,22.557,FP,,,,,,,
103,17,16.81,170.19,63.56,2.312,23.401,31.781,FP,,,,,,,
103,18,15.0,173.25,135.5,2.062,23.822,67.75,FP,,,,,,,
103,19,314.5,203.0,135.0,43.244,27.913,67.5,FP,,,,,,,
103,20,331.93,213.07,135.5,45.64,29.297,67.749,FP,,,,,,,
103,21,331.39,213.02,60.69,45.566,29.29,30.344,FP,,,,,,,
103,22,330.71,214.31,30.6,45.473,29.467,15.302,TP,11,0.218,0.798,0.827,-0.205,0.073,-0.798
103,23,331.3,213.91,19.15,45.554,29.412,9.577,FP,,,,,,,
103,24,495.57,219.25,136.74,68.141,30.147,68.372,FP,,,,,,,
103,25,60.84,258.89,63.58,8.366,35.598,31.789,FP,,,,,,,
103,26,143.73,303.41,135.97,19.763,41.719,67.987,FP,,,,,,,
103,27,178.48,349.06,136.46,24.541,47.996,68.23,FP,,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,57.974,16.527,11.854,FN,6,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,2.124,23.42,46.724,FN,9,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
