vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,446.82,66.15,97.09,61.437,9.096,48.543,FP,,,,,,,
103,1,444.0,63.0,160.0,61.05,8.663,80.0,TP,0,0.425,3.686,3.71,0.285,-0.315,3.686
103,2,444.46,67.68,159.54,61.114,9.306,79.768,FP,,,,,,,
103,3,445.19,67.41,167.62,61.213,9.268,83.812,FP,,,,,,,
103,4,448.0,67.0,160.0,61.6,9.213,80.0,FP,,,,,,,
103,5,27.81,169.1,31.23,3.823,23.251,15.613,TP,2,0.607,2.151,2.235,0.59,0.143,-2.151
103,6,470.66,176.53,159.53,64.716,24.272,79.763,FP,,,,,,,
103,7,468.76,179.88,96.06,64.454,24.733,48.03,FP,,,,,,,
103,8,470.88,178.74,167.52,64.746,24.576,83.762,FP,,,,,,,
103,9,480.4,186.88,32.67,66.054,25.697,16.337,FP,,,,,,,
103,10,476.3,187.17,96.07,65.491,25.735,48.033,FP,,,,,,,
103,11,64.0,191.0,31.0,8.8,26.263,15.5,FP,,,,,,,
103,12,63.5,193.29,32.0,8.731,26.577,16.0,FP,,,,,,,
103,13,325.53,230.76,96.12,44.76,31.73,48.06,FP,,,,,,,
103,14,322.36,234.2,159.72,44.324,32.202,79.86,FP,,,,,,,
103,15,322.53,234.03,167.62,44.348,32.179,83.809,FP,,,,,,,
103,16,64.36,317.86,67.36,8.849,43.705,33.679,FP,,,,,,,
103,17,362.85,393.62,96.31,49.891,54.122,48.154,TP,7,0.291,0.583,0.652,0.245,-0.157,-0.583
103,18,227.0,395.0,159.0,31.213,54.312,79.5,FP,,,,,,,
103,19,229.83,398.55,159.6,31.602,54.8,79.798,FP,,,,,,,
103,20,230.03,399.76,167.59,31.63,54.967,83.793,FP,,,,,,,
103,21,359.0,397.5,167.0,49.362,54.656,83.5,FP,,,,,,,
103,22,306.17,501.33,95.92,42.098,68.933,47.958,FP,,,,,,,
103,23,304.84,505.86,32.05,41.915,69.555,16.027,FP,,,,,,,
103,,,,,58.35,17.18,59.268,FN,1,,,,,,
103,,,,,64.971,24.864,42.116,FN,3,,,,,,
103,,,,,44.934,31.849,54.667,FN,4,,,,,,
103,,,,,36.333,37.26,93.705,FN,5,,,,,,
103,,,,,2.458,42.172,93.063,FN,6,,,,,,
103,,,,,31.274,54.475,60.778,FN,8,,,,,,
103,,,,,42.235,69.343,36.379,FN,9,,,,,,
104,0,9.79,59.74,96.02,1.346,8.215,48.011,FP,,,,,,,
104,1,153.33,123.64,96.46,21.083,17.001,48.231,TP,1,0.074,0.511,0.517,-0.026,0.07,0.511
104,2,390.06,130.42,89.34,53.633,17.932,44.672,FP,,,,,,,
104,3,354.58,163.2,159.45,48.755,22.44,79.727,FP,,,,,,,
104,4,354.7,163.2,166.6,48.771,22.44,83.3,FP,,,,,,,
104,5,354.07,163.93,96.76,48.685,22.54,48.382,FP,,,,,,,
104,6,355.09,164.12,125.03,48.825,22.566,62.515,FP,,,,,,,
104,7,356.48,166.25,23.46,49.015,22.86,11.73,TP,3,0.311,4.029,4.041,0.059,0.306,-4.029
104,8,191.76,173.85,5.63,26.367,23.905,2.816,FP,,,,,,,
104,9,55.0,189.0,168.0,7.562,25.988,84.0,FP,,,,,,,
104,10,59.22,192.11,168.0,8.143,26.415,84.0,FP,,,,,,,
104,11,64.66,202.12,95.94,8.89,27.792,47.968,FP,,,,,,,
104,12,64.93,201.48,167.6,8.928,27.703,83.798,FP,,,,,,,
104,13,63.46,202.82,29.99,8.726,27.888,14.995,TP,4,0.249,3.632,3.64,-0.248,0.028,-3.632
104,14,66.49,202.51,159.53,9.142,27.845,79.767,FP,,,,,,,
104,15,73.0,317.0,96.0,10.038,43.588,48.0,FP,,,,,,,
104,16,73.0,318.0,95.0,10.038,43.725,47.5,FP,,,,,,,
104,17,191.0,318.5,67.0,26.263,43.794,33.5,FP,,,,,,,
104,18,428.64,346.89,96.09,58.937,47.698,48.047,FP,,,,,,,
104,19,425.02,348.23,31.35,58.44,47.881,15.677,FP,,,,,,,
104,20,429.0,347.61,159.68,58.988,47.796,79.842,FP,,,,,,,
104,21,258.62,348.81,95.15,35.56,47.961,47.577,FP,,,,,,,
104,22,252.0,352.0,98.5,34.65,48.4,49.25,FP,,,,,,,
104,23,253.0,353.0,98.5,34.788,48.538,49.25,FP,,,,,,,
104,24,79.0,378.15,159.92,10.863,51.996,79.962,FP,,,,,,,
104,25,27.0,405.5,168.0,3.713,55.756,84.0,FP,,,,,,,
104,26,26.62,407.76,31.67,3.66,56.067,15.833,FP,,,,,,,
104,27,246.0,426.49,24.19,33.825,58.642,12.095,TP,9,0.238,4.814,4.82,-0.101,-0.216,-4.814
104,28,247.15,427.89,28.3,33.983,58.835,14.148,FP,,,,,,,
104,29,247.08,428.46,32.23,33.973,58.913,16.115,FP,,,,,,,
104,30,242.5,428.5,96.0,33.344,58.919,48.0,FP,,,,,,,
104,31,248.24,429.31,19.8,34.133,59.029,9.898,FP,,,,,,,
104,32,246.57,429.86,14.71,33.904,59.105,7.357,FP,,,,,,,
104,,,,,1.027,7.832,39.445,FN,0,,,,,,
104,,,,,53.426,17.871,39.259,FN,2,,,,,,
104,,,,,58.891,47.882,32.012,FN,5,,,,,,
104,,,,,35.649,48.189,38.266,FN,6,,,,,,
104,,,,,10.856,52.444,72.529,FN,7,,,,,,
104,,,,,4.295,55.739,7.994,FN,8,,,,,,
105,0,194.0,58.5,31.0,26.675,8.044,15.5,FP,,,,,,,
105,1,103.0,62.0,168.0,14.163,8.525,84.0,FP,,,,,,,
105,2,100.0,63.0,160.0,13.75,8.663,80.0,FP,,,,,,,
105,3,99.0,65.0,160.0,13.613,8.938,80.0,FP,,,,,,,
105,4,97.58,67.83,160.0,13.418,9.327,80.0,FP,,,,,,,
105,5,100.26,70.73,95.67,13.786,9.725,47.837,FP,,,,,,,
105,6,34.33,164.67,24.0,4.721,22.642,12.0,FP,,,,,,,
105,7,59.62,187.44,159.62,8.198,25.773,79.812,TP,3,0.359,0.808,0.884,0.108,0.342,0.808
105,8,319.09,190.63,139.65,43.874,26.212,69.826,FP,,,,,,,
105,9,318.5,190.4,131.35,43.794,26.18,65.675,FP,,,,,,,
105,10,77.38,244.04,167.75,10.639,33.556,83.875,FP,,,,,,,
105,11,80.0,243.0,167.0,11.0,33.413,83.5,FP,,,,,,,
105,12,74.0,260.5,93.0,10.175,35.819,46.5,TP,4,0.648,2.182,2.276,-0.237,0.602,-2.182
105,13,79.44,265.22,168.56,10.924,36.468,84.278,FP,,,,,,,
105,14,407.39,316.65,31.0,56.016,43.54,15.5,FP,,,,,,,
105,15,476.9,381.0,96.47,65.574,52.388,48.233,TP,5,0.377,1.867,1.904,0.164,0.34,-1.867
105,16,175.31,445.76,131.83,24.106,61.292,65.917,FP,,,,,,,
105,17,175.0,445.5,139.5,24.062,61.256,69.75,FP,,,,,,,
105,18,268.46,455.3,96.0,36.914,62.603,48.0,TP,6,0.09,4.5,4.501,-0.074,0.051,4.5
105,19,52.0,460.0,168.0,7.15,63.25,84.0,FP,,,,,,,
105,20,54.38,462.81,168.0,7.477,63.637,84.0,FP,,,,,,,
105,21,47.99,463.21,96.5,6.599,63.692,48.252,FP,,,,,,,
105,22,52.0,461.0,160.0,7.15,63.388,80.0,FP,,,,,,,
105,23,54.0,461.0,160.0,7.425,63.388,80.0,FP,,,,,,,
105,24,54.4,463.9,160.0,7.48,63.786,80.0,FP,,,,,,,
105,25,51.0,467.0,159.0,7.013,64.213,79.5,FP,,,,,,,
105,26,54.0,467.0,160.0,7.425,64.213,80.0,FP,,,,,,,
105,27,56.0,467.0,160.0,7.7,64.213,80.0,FP,,,,,,,
105,28,445.45,479.3,96.0,61.249,65.904,48.0,FP,,,,,,,
105,29,442.0,480.0,160.0,60.775,66.0,80.0,FP,,,,,,,
105,30,444.25,482.5,168.0,61.084,66.344,84.0,FP,,,,,,,
105,31,443.62,486.59,10.81,60.998,66.907,5.406,TP,8,0.301,3.052,3.067,0.229,-0.195,3.052
105,32,444.7,486.9,23.5,61.146,66.949,11.75,FP,,,,,,,
105,33,444.58,489.58,3.0,61.13,67.317,1.5,FP,,,,,,,
105,34,446.6,498.8,96.0,61.408,68.585,48.0,FP,,,,,,,
105,,,,,13.698,9.761,65.18,FN,0,,,,,,
105,,,,,27.554,22.496,98.068,FN,1,,,,,,
105,,,,,5.169,23.139,19.431,FN,2,,,,,,
105,,,,,6.842,63.846,63.93,FN,7,,,,,,
118,0,119.58,62.83,96.0,16.443,8.64,48.0,FP,,,,,,,
118,1,319.0,65.0,160.0,43.862,8.938,80.0,FP,,,,,,,
118,2,507.81,125.62,159.88,69.824,17.273,79.938,FP,,,,,,,
118,3,507.71,125.43,168.0,69.811,17.246,84.0,FP,,,,,,,
118,4,93.76,219.2,31.36,12.892,30.14,15.678,FP,,,,,,,
118,5,91.0,221.0,24.0,12.512,30.388,12.0,FP,,,,,,,
118,6,94.68,222.0,8.5,13.019,30.525,4.25,TP,6,0.429,1.233,1.305,-0.132,-0.408,-1.233
118,7,94.19,222.27,22.81,12.951,30.562,11.404,FP,,,,,,,
118,8,94.91,222.92,96.82,13.05,30.652,48.412,FP,,,,,,,
118,9,95.63,222.39,16.0,13.149,30.579,8.0,FP,,,,,,,
118,10,95.65,223.9,168.45,13.152,30.786,84.225,FP,,,,,,,
118,11,94.85,224.69,160.38,13.041,30.895,80.192,FP,,,,,,,
118,12,321.71,318.0,97.0,44.236,43.725,48.5,FP,,,,,,,
118,13,479.71,370.52,96.28,65.96,50.947,48.138,FP,,,,,,,
118,14,33.06,390.79,31.11,4.546,53.734,15.555,FP,,,,,,,
