vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,57.94,15.94,54.63,7.966,2.192,27.315,TP,0,0.226,3.818,3.825,-0.054,0.22,3.818
103,1,61.51,31.06,135.93,8.457,4.271,67.967,TP,1,0.467,4.497,4.521,0.315,-0.344,4.497
103,2,439.57,42.04,22.35,60.441,5.781,11.175,TP,4,0.319,2.523,2.543,-0.076,-0.31,-2.523
103,3,441.36,41.0,36.0,60.687,5.638,18.0,FP,,,,,,,
103,4,158.01,47.28,63.99,21.727,6.501,31.994,FP,,,,,,,
103,5,438.67,41.67,11.0,60.317,5.729,5.5,FP,,,,,,,
103,6,161.28,49.09,135.96,22.176,6.75,67.978,FP,,,,,,,
103,7,142.32,46.84,32.4,19.568,6.441,16.2,FP,,,,,,,
103,8,158.59,46.67,76.58,21.807,6.417,38.291,TP,2,0.37,2.803,2.827,0.18,0.323,-2.803
103,9,436.88,46.97,44.27,60.071,6.459,22.136,FP,,,,,,,
103,10,440.84,45.73,135.77,60.616,6.287,67.886,FP,,,,,,,
103,11,282.2,56.49,27.13,38.802,7.767,13.567,FP,,,,,,,
103,12,284.87,57.01,42.73,39.17,7.839,21.366,FP,,,,,,,
103,13,13.71,169.49,63.97,1.886,23.306,31.984,FP,,,,,,,
103,14,330.61,213.65,27.47,45.458,29.377,13.735,TP,11,0.221,2.364,2.375,-0.22,-0.017,-2.364
103,15,331.6,212.0,44.6,45.595,29.15,22.3,FP,,,,,,,
103,16,331.0,211.5,48.0,45.513,29.081,24.0,FP,,,,,,,
103,17,330.96,213.66,164.01,45.507,29.379,82.007,FP,,,,,,,
103,18,330.85,215.42,95.81,45.492,29.62,47.905,FP,,,,,,,
103,19,64.59,249.46,136.0,8.881,34.301,68.0,FP,,,,,,,
103,20,61.82,258.43,64.32,8.5,35.534,32.161,FP,,,,,,,
103,21,176.09,349.91,147.38,24.212,48.113,73.692,TP,15,0.159,1.768,1.775,-0.151,0.051,-1.768
103,22,92.25,371.75,56.25,12.684,51.116,28.125,FP,,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,38.847,7.911,8.281,FN,5,,,,,,
103,,,,,57.974,16.527,11.854,FN,6,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,2.124,23.42,46.724,FN,9,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,19.893,41.869,12.731,FN,14,,,,,,
103,,,,,11.912,51.002,46.481,FN,16,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
104,0,290.39,70.94,63.99,39.929,9.754,31.997,FP,,,,,,,
104,1,292.07,71.03,135.8,40.159,9.767,67.899,FP,,,,,,,
104,2,291.0,70.0,110.0,40.013,9.625,55.0,FP,,,,,,,
104,3,463.5,120.01,112.58,63.731,16.502,56.289,TP,3,0.329,2.724,2.744,0.279,-0.173,2.724
104,4,463.59,120.56,131.12,63.743,16.578,65.561,FP,,,,,,,
104,5,386.93,149.47,63.24,53.203,20.551,31.619,TP,4,0.08,2.799,2.8,0.064,0.049,2.799
104,6,386.91,149.02,133.6,53.2,20.49,66.798,FP,,,,,,,
104,7,386.36,151.6,80.9,53.124,20.844,40.452,FP,,,,,,,
104,8,101.54,230.57,40.8,13.962,31.703,20.398,FP,,,,,,,
104,9,102.76,232.76,174.15,14.129,32.005,87.076,FP,,,,,,,
104,10,101.67,233.33,133.17,13.979,32.083,66.583,FP,,,,,,,
104,11,103.75,233.25,121.25,14.266,32.072,60.625,FP,,,,,,,
104,12,478.79,286.86,152.7,65.833,39.443,76.35,FP,,,,,,,
104,13,480.9,287.03,62.97,66.124,39.466,31.486,FP,,,,,,,
104,14,122.28,400.47,102.26,16.814,55.065,51.131,TP,12,0.257,3.498,3.507,0.206,0.153,3.498
104,15,479.14,406.57,148.11,65.882,55.903,74.054,TP,13,0.169,2.522,2.528,-0.152,0.074,-2.522
104,16,325.02,423.44,135.82,44.69,58.223,67.912,FP,,,,,,,
104,17,277.24,434.9,23.91,38.121,59.799,11.953,FP,,,,,,,
104,18,317.4,436.75,135.65,43.643,60.054,67.823,FP,,,,,,,
104,19,281.7,437.17,45.59,38.734,60.111,22.797,TP,15,0.286,4.544,4.553,0.25,0.14,4.544
104,20,280.95,437.65,94.5,38.631,60.176,47.25,FP,,,,,,,
104,21,416.57,441.76,52.95,57.279,60.742,26.476,FP,,,,,,,
104,22,374.57,447.1,136.0,51.504,61.476,68.0,TP,17,0.306,0.222,0.378,-0.3,0.059,-0.222
104,23,179.1,501.85,135.29,24.626,69.005,67.646,FP,,,,,,,
104,,,,,4.344,1.153,93.823,FN,0,,,,,,
104,,,,,39.8,9.67,40.881,FN,1,,,,,,
104,,,,,35.572,12.351,86.909,FN,2,,,,,,
104,,,,,63.377,25.695,66.21,FN,5,,,,,,
104,,,,,54.652,29.586,81.081,FN,6,,,,,,
104,,,,,14.012,31.948,2.02,FN,7,,,,,,
104,,,,,30.44,37.641,90.326,FN,8,,,,,,
104,,,,,65.933,39.17,85.692,FN,9,,,,,,
104,,,,,55.683,39.988,81.655,FN,10,,,,,,
104,,,,,69.063,47.858,38.458,FN,11,,,,,,
104,,,,,44.9,58.626,9.523,FN,14,,,,,,
104,,,,,57.11,60.682,85.744,FN,16,,,,,,
104,,,,,30.66,65.604,89.36,FN,18,,,,,,
104,,,,,24.451,69.505,60.626,FN,19,,,,,,
