vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,55.42,8.9,24.48,7.62,1.224,12.241,FP,,,,,,,
103,1,62.11,26.55,159.75,8.541,3.65,79.877,FP,,,,,,,
103,2,61.9,30.53,168.05,8.511,4.198,84.025,FP,,,,,,,
103,3,62.53,32.22,96.43,8.598,4.43,48.216,FP,,,,,,,
103,4,442.33,43.24,96.37,60.821,5.945,48.186,FP,,,,,,,
103,5,443.25,44.49,29.44,60.947,6.118,14.721,TP,4,0.431,1.023,1.11,0.431,0.027,1.023
103,6,443.43,44.52,166.14,60.971,6.122,83.071,FP,,,,,,,
103,7,143.63,47.42,22.4,19.749,6.52,11.202,FP,,,,,,,
103,8,159.28,47.72,95.85,21.902,6.562,47.923,FP,,,,,,,
103,9,442.09,45.64,160.0,60.788,6.275,80.0,FP,,,,,,,
103,10,146.5,47.0,30.0,20.144,6.463,15.0,FP,,,,,,,
103,11,441.0,50.0,169.0,60.638,6.875,84.5,FP,,,,,,,
103,12,286.0,63.67,20.58,39.325,8.755,10.291,TP,5,0.971,2.009,2.232,0.478,0.845,2.009
103,13,286.25,61.75,33.0,39.359,8.491,16.5,FP,,,,,,,
103,14,80.71,65.43,156.57,11.098,8.996,78.286,FP,,,,,,,
103,15,332.56,214.85,20.46,45.727,29.542,10.232,FP,,,,,,,
103,16,332.69,214.12,168.9,45.745,29.441,84.452,FP,,,,,,,
103,17,330.5,214.0,85.0,45.444,29.425,42.5,FP,,,,,,,
103,18,450.0,240.71,160.0,61.875,33.098,80.0,FP,,,,,,,
103,19,61.06,253.85,96.31,8.396,34.904,48.153,FP,,,,,,,
103,20,64.69,260.88,97.12,8.895,35.87,48.562,FP,,,,,,,
103,21,141.71,302.37,23.69,19.486,41.576,11.843,TP,14,0.501,0.888,1.02,-0.407,-0.293,-0.888
103,22,177.07,350.76,97.8,24.347,48.23,48.9,FP,,,,,,,
103,,,,,8.02,1.972,23.497,FN,0,,,,,,
103,,,,,8.142,4.615,63.47,FN,1,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,57.974,16.527,11.854,FN,6,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,2.124,23.42,46.724,FN,9,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,45.678,29.395,16.099,FN,11,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,24.363,48.061,75.46,FN,15,,,,,,
103,,,,,11.912,51.002,46.481,FN,16,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
104,0,288.63,64.39,168.57,39.687,8.854,84.283,FP,,,,,,,
104,1,289.55,64.23,160.0,39.812,8.831,80.0,FP,,,,,,,
104,2,289.87,65.67,32.67,39.857,9.029,16.333,FP,,,,,,,
104,3,290.36,68.98,94.98,39.925,9.485,47.491,FP,,,,,,,
