vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,56.43,9.5,95.69,7.759,1.306,47.843,FP,,,,,,,
103,1,63.33,8.33,23.0,8.708,1.146,11.5,FP,,,,,,,
103,2,59.95,18.93,31.95,8.243,2.602,15.974,FP,,,,,,,
103,3,63.98,26.39,96.38,8.798,3.628,48.19,FP,,,,,,,
103,4,59.08,30.0,160.12,8.124,4.125,80.06,FP,,,,,,,
103,5,56.84,31.17,167.95,7.816,4.286,83.973,FP,,,,,,,
103,6,140.26,42.48,96.23,19.285,5.84,48.114,FP,,,,,,,
103,7,441.53,40.18,16.15,60.71,5.525,8.076,FP,,,,,,,
103,8,441.55,41.72,95.95,60.713,5.736,47.977,FP,,,,,,,
103,9,159.26,47.01,96.5,21.898,6.464,48.252,FP,,,,,,,
103,10,152.86,45.28,31.77,21.018,6.226,15.884,FP,,,,,,,
103,11,440.3,45.75,160.83,60.542,6.291,80.413,FP,,,,,,,
103,12,160.56,46.75,160.09,22.077,6.428,80.047,FP,,,,,,,
103,13,440.76,46.55,167.18,60.605,6.401,83.588,FP,,,,,,,
103,14,440.48,46.85,28.98,60.566,6.442,14.488,TP,4,0.355,0.79,0.866,0.049,0.351,0.79
103,15,280.33,56.06,16.84,38.546,7.708,8.418,TP,5,0.363,0.136,0.388,-0.301,-0.202,0.136
103,16,281.63,58.24,96.31,38.724,8.008,48.157,FP,,,,,,,
103,17,281.28,57.45,167.78,38.676,7.899,83.892,FP,,,,,,,
103,18,281.44,58.19,159.52,38.697,8.002,79.758,FP,,,,,,,
103,19,423.29,119.33,95.79,58.202,16.407,47.894,FP,,,,,,,
103,20,423.69,119.81,30.56,58.258,16.473,15.282,TP,6,0.289,3.428,3.44,0.284,-0.053,3.428
103,21,425.16,122.41,20.15,58.46,16.831,10.074,FP,,,,,,,
103,22,422.84,133.93,32.32,58.14,18.415,16.161,FP,,,,,,,
103,23,15.08,173.18,31.64,2.073,23.813,15.818,FP,,,,,,,
103,24,14.0,171.0,96.0,1.925,23.513,48.0,TP,9,0.219,1.276,1.295,-0.199,0.092,1.276
103,25,333.55,214.18,95.19,45.862,29.45,47.597,FP,,,,,,,
103,26,333.97,215.05,27.01,45.92,29.569,13.503,TP,11,0.299,2.596,2.613,0.242,0.175,-2.596
103,27,332.69,213.6,159.48,45.745,29.37,79.741,FP,,,,,,,
103,28,333.58,214.8,167.74,45.868,29.535,83.868,FP,,,,,,,
103,29,503.5,215.5,96.0,69.231,29.631,48.0,FP,,,,,,,
103,30,7.11,229.49,159.27,0.977,31.554,79.635,FP,,,,,,,
103,31,446.27,235.42,95.08,61.362,32.371,47.538,FP,,,,,,,
103,32,61.68,261.26,95.93,8.481,35.924,47.965,FP,,,,,,,
103,33,63.5,266.5,168.0,8.731,36.644,84.0,FP,,,,,,,
103,34,143.88,303.47,95.76,19.783,41.727,47.88,FP,,,,,,,
103,35,147.31,302.38,31.69,20.255,41.577,15.844,TP,14,0.466,3.113,3.147,0.363,-0.292,3.113
103,36,144.82,304.27,19.55,19.913,41.838,9.773,FP,,,,,,,
103,37,177.99,352.36,95.91,24.473,48.449,47.955,FP,,,,,,,
103,38,183.62,447.26,95.54,25.247,61.498,47.769,FP,,,,,,,
103,,,,,8.02,1.972,23.497,FN,0,,,,,,
103,,,,,8.142,4.615,63.47,FN,1,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,24.363,48.061,75.46,FN,15,,,,,,
103,,,,,11.912,51.002,46.481,FN,16,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
104,0,290.98,69.89,95.81,40.009,9.609,47.905,FP,,,,,,,
104,1,292.1,70.62,167.98,40.164,9.711,83.988,FP,,,,,,,
104,2,293.33,71.17,159.53,40.333,9.785,79.764,FP,,,,,,,
104,3,290.14,73.09,32.62,39.894,10.05,16.309,FP,,,,,,,
104,4,462.22,119.04,95.68,63.555,16.368,47.841,FP,,,,,,,
104,5,462.0,118.5,160.0,63.525,16.294,80.0,FP,,,,,,,
104,6,457.54,120.51,166.89,62.912,16.571,83.443,FP,,,,,,,
104,7,461.0,131.0,96.0,63.388,18.013,48.0,FP,,,,,,,
104,8,391.99,150.43,160.52,53.899,20.684,80.259,FP,,,,,,,
104,9,392.86,151.6,167.72,54.019,20.845,83.858,FP,,,,,,,
104,10,453.34,184.38,160.0,62.335,25.352,80.0,FP,,,,,,,
104,11,458.83,184.11,97.23,63.089,25.315,48.617,FP,,,,,,,
104,12,452.81,185.04,167.82,62.262,25.443,83.911,FP,,,,,,,
104,13,462.28,190.72,32.03,63.564,26.223,16.014,FP,,,,,,,
104,14,100.6,231.41,17.86,13.832,31.819,8.931,FP,,,,,,,
104,15,101.89,232.79,158.96,14.01,32.008,79.482,FP,,,,,,,
104,16,102.89,232.22,167.78,14.147,31.931,83.889,FP,,,,,,,
104,17,479.26,292.37,159.74,65.899,40.201,79.868,FP,,,,,,,
104,18,479.0,292.0,168.0,65.863,40.15,84.0,TP,9,0.983,1.692,1.957,-0.071,0.98,-1.692
104,19,189.88,319.48,95.73,26.108,43.929,47.867,FP,,,,,,,
104,20,506.37,345.61,30.62,69.625,47.521,15.31,FP,,,,,,,
104,21,393.0,351.0,95.9,54.038,48.263,47.95,FP,,,,,,,
104,22,120.11,399.78,95.6,16.515,54.969,47.799,TP,12,0.109,0.166,0.199,-0.093,0.057,0.166
104,23,120.8,399.6,32.0,16.61,54.945,16.0,FP,,,,,,,
104,24,325.96,425.46,167.54,44.819,58.501,83.771,FP,,,,,,,
104,25,279.64,436.74,95.91,38.451,60.051,47.955,FP,,,,,,,
104,26,279.14,436.41,167.79,38.381,60.007,83.897,FP,,,,,,,
104,27,279.57,438.36,26.46,38.441,60.275,13.229,FP,,,,,,,
