vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,58.79,24.99,36.88,8.084,3.436,18.438,FP,,,,,,,
103,1,54.78,8.18,107.78,7.532,1.124,53.892,FP,,,,,,,
103,2,54.08,5.92,119.25,7.436,0.814,59.625,FP,,,,,,,
103,3,58.05,22.52,96.93,7.982,3.096,48.465,FP,,,,,,,
103,4,59.31,24.87,19.33,8.155,3.42,9.667,FP,,,,,,,
103,5,57.2,24.4,55.2,7.865,3.355,27.6,FP,,,,,,,
103,6,58.89,25.33,15.67,8.097,3.483,7.833,FP,,,,,,,
103,7,58.0,25.0,23.0,7.975,3.438,11.5,FP,,,,,,,
103,8,58.0,29.0,62.0,7.975,3.988,31.0,FP,,,,,,,
103,9,60.0,30.0,107.0,8.25,4.125,53.5,FP,,,,,,,
103,10,439.84,44.12,30.76,60.479,6.066,15.381,TP,4,0.045,1.683,1.683,-0.038,-0.024,1.683
103,11,144.68,44.78,95.37,19.893,6.157,47.686,FP,,,,,,,
103,12,441.06,43.56,17.01,60.646,5.99,8.507,FP,,,,,,,
103,13,135.6,41.9,83.23,18.646,5.762,41.616,FP,,,,,,,
103,14,149.96,45.39,36.08,20.62,6.242,18.04,FP,,,,,,,
103,15,440.06,44.61,95.35,60.508,6.134,47.674,FP,,,,,,,
103,16,440.71,43.59,51.34,60.597,5.993,25.67,FP,,,,,,,
103,17,440.64,42.97,56.32,60.588,5.909,28.16,FP,,,,,,,
103,18,152.23,44.97,18.43,20.932,6.183,9.216,FP,,,,,,,
103,19,440.06,43.88,166.61,60.508,6.034,83.303,FP,,,,,,,
103,20,440.3,45.47,39.4,60.541,6.252,19.699,FP,,,,,,,
103,21,136.44,44.64,115.32,18.76,6.138,57.66,FP,,,,,,,
103,22,440.16,45.11,47.52,60.522,6.203,23.758,FP,,,,,,,
103,23,150.95,45.67,56.87,20.755,6.279,28.435,FP,,,,,,,
103,24,439.33,44.92,43.54,60.407,6.177,21.769,FP,,,,,,,
103,25,152.21,45.65,23.35,20.928,6.276,11.676,FP,,,,,,,
103,26,441.83,44.83,8.0,60.752,6.165,4.0,FP,,,,,,,
103,27,282.95,57.95,27.05,38.906,7.968,13.523,FP,,,,,,,
103,28,280.59,60.7,96.32,38.581,8.347,48.159,FP,,,,,,,
103,29,283.45,58.25,51.86,38.975,8.009,25.932,FP,,,,,,,
103,30,283.28,58.26,165.22,38.951,8.01,82.612,FP,,,,,,,
103,31,282.41,60.3,39.44,38.832,8.292,19.718,FP,,,,,,,
103,32,280.5,61.5,115.5,38.569,8.456,57.75,FP,,,,,,,
103,33,280.5,61.2,119.4,38.569,8.415,59.7,FP,,,,,,,
103,34,280.33,61.5,107.67,38.546,8.456,53.833,FP,,,,,,,
103,35,279.97,81.67,96.33,38.497,11.23,48.165,FP,,,,,,,
103,36,422.93,119.95,27.45,58.153,16.493,13.727,TP,6,0.182,1.873,1.882,0.179,-0.034,1.873
103,37,423.32,121.21,51.23,58.206,16.666,25.614,FP,,,,,,,
103,38,424.15,122.47,168.7,58.321,16.84,84.35,FP,,,,,,,
103,39,419.88,121.89,95.76,57.734,16.76,47.878,FP,,,,,,,
103,40,421.0,122.29,108.0,57.888,16.814,54.0,FP,,,,,,,
103,41,424.67,122.67,160.0,58.392,16.867,80.0,FP,,,,,,,
103,42,363.63,133.1,31.18,49.999,18.301,15.59,FP,,,,,,,
103,43,309.46,149.66,0.99,42.55,20.578,0.495,FP,,,,,,,
103,44,311.12,152.91,30.98,42.779,21.025,15.492,FP,,,,,,,
103,45,13.8,170.51,95.8,1.897,23.445,47.898,TP,9,0.228,1.175,1.197,-0.227,0.025,1.175
103,46,12.75,171.52,31.27,1.754,23.585,15.634,FP,,,,,,,
103,47,4.33,201.0,95.22,0.596,27.638,47.611,FP,,,,,,,
103,48,332.67,213.25,39.49,45.743,29.322,19.744,TP,11,0.097,3.645,3.646,0.064,-0.073,3.645
103,49,333.23,212.8,19.11,45.819,29.26,9.554,FP,,,,,,,
103,50,330.67,214.64,101.83,45.467,29.513,50.913,FP,,,,,,,
103,51,332.79,214.04,165.63,45.758,29.431,82.817,FP,,,,,,,
103,52,332.5,212.67,175.0,45.719,29.242,87.5,FP,,,,,,,
103,53,332.71,214.38,147.6,45.747,29.477,73.802,FP,,,,,,,
103,54,332.5,214.5,123.0,45.719,29.494,61.5,FP,,,,,,,
103,55,499.96,219.98,33.43,68.745,30.247,16.713,FP,,,,,,,
103,56,498.32,218.8,48.97,68.519,30.086,24.486,FP,,,,,,,
103,57,59.31,250.94,98.32,8.156,34.505,49.158,FP,,,,,,,
103,58,62.17,250.43,31.49,8.548,34.434,15.746,FP,,,,,,,
103,59,57.72,251.72,115.39,7.937,34.612,57.694,FP,,,,,,,
103,60,57.5,252.0,111.0,7.906,34.65,55.5,FP,,,,,,,
103,61,60.33,259.79,99.68,8.295,35.721,49.841,FP,,,,,,,
103,62,61.09,263.2,31.55,8.4,36.191,15.776,FP,,,,,,,
103,63,61.08,261.31,51.08,8.398,35.93,25.538,FP,,,,,,,
103,64,60.5,261.5,48.0,8.319,35.956,24.0,FP,,,,,,,
103,65,265.22,270.65,36.58,36.467,37.214,18.288,FP,,,,,,,
103,66,144.76,300.86,95.26,19.904,41.368,47.628,FP,,,,,,,
103,67,147.35,301.81,31.36,20.261,41.499,15.678,TP,14,0.522,2.947,2.993,0.368,-0.37,2.947
103,68,141.95,304.79,167.3,19.518,41.909,83.652,FP,,,,,,,
103,69,177.89,349.53,96.01,24.46,48.06,48.004,FP,,,,,,,
103,70,177.17,350.02,32.36,24.361,48.127,16.18,FP,,,,,,,
103,71,177.11,350.63,43.49,24.352,48.212,21.744,FP,,,,,,,
103,72,177.15,350.36,54.73,24.359,48.174,27.363,FP,,,,,,,
103,73,91.04,376.78,97.33,12.518,51.807,48.666,TP,16,1.007,2.185,2.406,0.606,0.805,2.185
103,74,88.83,377.62,32.06,12.214,51.922,16.032,FP,,,,,,,
103,75,90.58,378.71,107.48,12.454,52.073,53.74,FP,,,,,,,
103,76,98.23,389.68,43.75,13.507,53.581,21.874,FP,,,,,,,
103,77,98.15,390.11,31.07,13.496,53.641,15.533,FP,,,,,,,
103,78,98.39,388.98,54.18,13.528,53.485,27.089,FP,,,,,,,
103,79,97.71,389.71,35.29,13.436,53.586,17.643,FP,,,,,,,
103,,,,,8.02,1.972,23.497,FN,0,,,,,,
103,,,,,8.142,4.615,63.47,FN,1,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,38.847,7.911,8.281,FN,5,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,24.363,48.061,75.46,FN,15,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
