vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,57.15,16.72,54.96,7.858,2.298,27.482,TP,0,0.365,3.985,4.002,-0.162,0.326,3.985
103,1,57.18,27.66,133.81,7.862,3.803,66.904,TP,1,0.859,3.434,3.54,-0.28,-0.812,3.434
103,2,63.51,23.54,63.08,8.732,3.237,31.539,FP,,,,,,,
103,3,440.45,43.57,16.68,60.562,5.99,8.341,FP,,,,,,,
103,4,158.08,46.33,135.87,21.736,6.37,67.936,FP,,,,,,,
103,5,158.15,46.46,63.52,21.746,6.388,31.762,FP,,,,,,,
103,6,439.66,45.12,34.07,60.453,6.204,17.037,TP,4,0.13,3.339,3.342,-0.064,0.114,3.339
103,7,281.67,58.29,15.34,38.729,8.015,7.671,TP,5,0.158,0.61,0.63,-0.118,0.105,-0.61
103,8,282.2,58.28,135.98,38.803,8.013,67.988,FP,,,,,,,
103,9,285.0,63.0,34.83,39.188,8.663,17.413,FP,,,,,,,
103,10,423.45,117.65,35.03,58.224,16.177,17.517,FP,,,,,,,
103,11,422.21,120.77,16.59,58.054,16.605,8.293,TP,6,0.112,3.561,3.563,0.08,0.079,-3.561
103,12,205.77,122.86,63.58,28.293,16.893,31.791,FP,,,,,,,
103,13,16.41,170.32,63.45,2.256,23.42,31.727,FP,,,,,,,
103,14,13.96,171.44,135.92,1.92,23.573,67.962,FP,,,,,,,
103,15,331.81,214.16,20.12,45.623,29.447,10.06,FP,,,,,,,
103,16,332.46,213.63,135.67,45.713,29.374,67.834,FP,,,,,,,
103,17,333.6,214.62,30.66,45.87,29.511,15.331,TP,11,0.224,0.768,0.8,0.192,0.116,-0.768
103,18,332.67,216.33,108.0,45.742,29.746,54.0,FP,,,,,,,
103,19,495.0,217.0,136.0,68.062,29.838,68.0,FP,,,,,,,
103,20,366.75,242.0,160.0,50.428,33.275,80.0,FP,,,,,,,
103,21,62.46,253.31,135.15,8.588,34.83,67.577,FP,,,,,,,
103,22,61.79,259.55,63.28,8.497,35.688,31.639,FP,,,,,,,
103,23,62.31,259.55,135.92,8.567,35.688,67.96,FP,,,,,,,
103,24,60.79,260.66,91.0,8.359,35.84,45.5,FP,,,,,,,
103,25,267.5,270.0,31.0,36.781,37.125,15.5,FP,,,,,,,
103,26,145.34,304.59,135.63,19.985,41.882,67.814,FP,,,,,,,
103,27,179.95,351.23,135.09,24.743,48.294,67.547,FP,,,,,,,
103,28,88.14,372.36,135.75,12.12,51.199,67.874,FP,,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,2.124,23.42,46.724,FN,9,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,19.893,41.869,12.731,FN,14,,,,,,
103,,,,,24.363,48.061,75.46,FN,15,,,,,,
103,,,,,11.912,51.002,46.481,FN,16,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
104,0,288.61,70.28,62.86,39.685,9.663,31.431,FP,,,,,,,
104,1,289.24,71.22,135.24,39.77,9.793,67.619,FP,,,,,,,
104,2,290.71,71.03,84.91,39.972,9.767,42.456,TP,1,0.197,1.575,1.587,0.172,0.097,1.575
104,3,463.09,122.49,106.59,63.674,16.843,53.293,TP,3,0.278,0.273,0.389,0.222,0.168,-0.273
104,4,463.03,121.36,135.68,63.666,16.687,67.839,FP,,,,,,,
104,5,463.28,122.02,119.59,63.702,16.778,59.795,FP,,,,,,,
104,6,386.85,146.57,61.77,53.192,20.153,30.884,TP,4,0.353,2.064,2.094,0.053,-0.349,2.064
