vol_idx,pred_id,x_px,y_px,z_plane,x_um,y_um,z_um,status,gt_id,err_xy_um,err_z_um,err_um,dx_um,dy_um,dz_um
103,0,55.58,8.37,95.6,7.642,1.151,47.8,FP,,,,,,,
103,1,58.2,12.63,12.42,8.003,1.736,6.211,FP,,,,,,,
103,2,56.99,13.98,31.09,7.836,1.922,15.544,FP,,,,,,,
103,3,57.28,32.22,96.05,7.876,4.43,48.023,FP,,,,,,,
103,4,57.66,32.8,167.88,7.928,4.51,83.938,FP,,,,,,,
103,5,57.63,33.39,159.6,7.924,4.591,79.798,FP,,,,,,,
103,6,440.72,45.41,95.49,60.598,6.244,47.744,FP,,,,,,,
103,7,147.21,45.27,29.57,20.241,6.225,14.783,FP,,,,,,,
103,8,440.04,44.45,29.85,60.505,6.112,14.925,TP,4,0.024,1.227,1.228,-0.012,0.021,1.227
103,9,442.57,43.3,12.39,60.853,5.954,6.196,FP,,,,,,,
103,10,442.27,43.82,19.17,60.812,6.025,9.583,FP,,,,,,,
103,11,156.0,46.01,95.85,21.45,6.327,47.923,FP,,,,,,,
103,12,161.13,45.76,159.63,22.156,6.292,79.816,FP,,,,,,,
103,13,136.65,50.1,95.84,18.789,6.889,47.921,FP,,,,,,,
103,14,282.96,57.64,29.28,38.907,7.925,14.638,FP,,,,,,,
103,15,283.29,58.44,16.06,38.952,8.036,8.03,TP,5,0.163,0.251,0.3,0.105,0.125,-0.251
103,16,282.55,59.5,94.98,38.851,8.181,47.489,FP,,,,,,,
103,17,205.51,119.68,31.25,28.258,16.456,15.626,FP,,,,,,,
103,18,424.11,117.94,33.79,58.316,16.217,16.896,FP,,,,,,,
103,19,427.39,122.46,17.54,58.766,16.838,8.769,TP,6,0.851,3.085,3.2,0.792,0.311,-3.085
103,20,427.65,123.35,43.42,58.802,16.961,21.71,FP,,,,,,,
103,21,423.67,120.5,71.33,58.254,16.569,35.667,FP,,,,,,,
103,22,14.13,174.52,95.6,1.943,23.996,47.798,TP,9,0.604,1.075,1.233,-0.181,0.576,1.075
103,23,333.44,213.59,19.53,45.848,29.369,9.764,FP,,,,,,,
103,24,332.16,214.21,96.02,45.672,29.454,48.008,FP,,,,,,,
103,25,332.0,213.0,167.0,45.65,29.288,83.5,FP,,,,,,,
103,26,63.5,254.0,96.0,8.731,34.925,48.0,FP,,,,,,,
103,27,62.71,262.03,95.76,8.622,36.03,47.878,FP,,,,,,,
103,28,265.4,270.63,30.8,36.493,37.212,15.4,FP,,,,,,,
103,29,312.65,314.56,95.46,42.99,43.253,47.728,FP,,,,,,,
103,30,176.81,351.44,96.75,24.311,48.323,48.376,FP,,,,,,,
103,31,184.12,441.53,95.28,25.316,60.711,47.642,FP,,,,,,,
103,,,,,8.02,1.972,23.497,FN,0,,,,,,
103,,,,,8.142,4.615,63.47,FN,1,,,,,,
103,,,,,21.626,6.094,41.094,FN,2,,,,,,
103,,,,,19.091,6.284,6.531,FN,3,,,,,,
103,,,,,50.02,18.403,85.762,FN,7,,,,,,
103,,,,,42.474,20.71,95.03,FN,8,,,,,,
103,,,,,68.353,30.128,80.078,FN,10,,,,,,
103,,,,,45.678,29.395,16.099,FN,11,,,,,,
103,,,,,8.427,35.402,40.764,FN,12,,,,,,
103,,,,,36.641,37.144,83.254,FN,13,,,,,,
103,,,,,19.893,41.869,12.731,FN,14,,,,,,
103,,,,,24.363,48.061,75.46,FN,15,,,,,,
103,,,,,11.912,51.002,46.481,FN,16,,,,,,
103,,,,,13.635,53.628,74.304,FN,17,,,,,,
103,,,,,60.357,67.677,93.097,FN,18,,,,,,
103,,,,,15.006,69.535,95.506,FN,19,,,,,,
104,0,190.93,6.97,167.67,26.253,0.958,83.833,FP,,,,,,,
104,1,186.58,55.5,95.83,25.655,7.631,47.917,FP,,,,,,,
104,2,53.11,66.78,160.0,7.303,9.182,80.0,FP,,,,,,,
104,3,291.18,68.57,160.02,40.037,9.428,80.01,FP,,,,,,,
104,4,386.0,66.0,31.0,53.075,9.075,15.5,FP,,,,,,,
104,5,288.13,70.9,95.46,39.619,9.749,47.731,FP,,,,,,,
104,6,458.78,114.48,167.76,63.082,15.741,83.882,FP,,,,,,,
